,ano,sigla_uf,id_municipio,numero_obitos,tempo_emprego,quantidade_pessoas,quantidade_pessoas_brancas,quantidade_pessoas_negras,quantidade_pessoas_indigenas,quantidade_pessoas_amarelas,quantidade_estabelecimentos_ensino_infantil,quantidade_estabelecimentos_ensino_fundamental,quantidade_estabelecimentos_ensino_medio,seguranca,assistencia,previdencia,total,taxa_abandono_ef,taxa_reprovacao_ef,taxa_aprovacao_ef,taxa_abandono_em,taxa_reprovacao_em,taxa_aprovacao_em,atu_ei,atu_ef,atu_em,populacao
0,2019,AC,1200013,48,10.771428571428572,,,,,,,,,0.0,6253910.000000001,0.0,272445170.21999997,1.4916666666666665,3.441666666666666,95.06666666666668,13.233333333333334,14.033333333333333,72.73333333333335,14.066666666666666,26.658333333333328,27.733333333333334,15256.0
1,2019,AC,1200054,41,,,,,,,,,,0.0,7852964.620000001,0.0,209901748.52999988,4.825,7.825,87.35000000000001,6.333333333333333,6.8,86.86666666666669,13.172727272727274,18.491666666666667,23.633333333333336,7417.0
2,2019,AC,1200104,148,4.959183673469388,,,,,,,,,0.0,12911431.04,871082.1000000001,578961389.3400004,1.2666666666666666,2.5833333333333335,96.15000000000002,3.566666666666666,2.466666666666667,93.96666666666664,19.6,24.15833333333333,30.533333333333335,26278.0
3,2019,AC,1200138,42,5.55,,,,,,,,,,,,,4.2333333333333325,2.375,93.39166666666667,5.766666666666667,4.066666666666666,90.16666666666667,18.166666666666668,20.724999999999998,19.133333333333336,10266.0
4,2019,AC,1200179,46,5.25,,,,,,,,,1340412.9600000002,6125244.78,0.0,239844910.9500001,3.8249999999999997,8.999999999999998,87.175,10.066666666666666,4.300000000000001,85.63333333333333,18.233333333333334,24.033333333333335,24.56666666666667,11733.0
5,2019,AC,1200203,426,7.661717921527042,,,,,,,,,8893472.38,33708148.66,2698748.7,1671940340.069999,1.6714285714285713,4.621428571428571,93.70714285714284,5.015384615384615,12.100000000000001,82.88461538461539,17.200000000000003,21.37142857142857,28.300000000000004,88376.0
6,2019,AC,1200252,86,6.794117647058823,,,,,,,,,0.0,8448220.62,0.0,340378840.34999996,2.2499999999999996,4.858333333333334,92.89166666666667,13.500000000000002,12.266666666666666,74.23333333333332,21.000000000000004,23.866666666666664,25.233333333333334,18411.0
7,2019,AC,1200302,166,3.559322033898305,,,,,,,,,,,,,2.8333333333333335,11.683333333333337,85.48333333333333,10.066666666666666,7.166666666666667,82.76666666666665,14.627272727272727,21.8,22.933333333333334,34780.0
8,2019,AC,1200328,20,,,,,,,,,,312943.12,5983879.62,0.0,3.0,2.025,9.483333333333333,88.49166666666667,7.8999999999999995,0.8999999999999999,91.20000000000002,17.033333333333335,18.35833333333333,14.1,8317.0
9,2019,AC,1200336,87,19.25,,,,,,,,,0.0,10803835.340000002,0.0,263259828.11999997,2.283333333333333,3.583333333333334,94.13333333333333,5.266666666666667,1.5333333333333332,93.19999999999999,15.700000000000005,20.999999999999996,22.700000000000003,18977.0
10,2019,AC,1200344,53,,,,,,,,,,58439.520000000004,6260561.92,0.0,422484817.1999997,1.7250000000000003,6.083333333333335,92.19166666666666,17.599999999999998,12.5,69.89999999999999,15.566666666666666,23.25,33.9,9459.0
11,2019,AC,1200351,43,,,,,,,,,,0.0,3321772.38,0.0,246460970.4300002,5.390909090909091,6.409090909090909,88.19999999999999,13.066666666666668,4.933333333333334,82.0,14.899999999999999,17.87272727272727,22.9,18867.0
12,2019,AC,1200385,71,5.62890625,,,,,,,,,0.0,7561324.320000001,0.0,480169650.75000006,2.525,7.824999999999999,89.65000000000002,6.033333333333333,7.966666666666667,86.00000000000001,22.833333333333332,19.750000000000004,24.666666666666668,19761.0
13,2019,AC,1200393,29,,,,,,,,,,0.0,5177156.52,0.0,394232156.9099997,4.258333333333334,7.041666666666667,88.69999999999999,4.533333333333333,8.466666666666665,86.99999999999999,14.409090909090908,17.933333333333334,18.4,11982.0
14,2019,AC,1200401,1953,10.58515775917579,,,,,,,,,11953312.63,106031094.02000001,246392605.39999998,301594513.83000004,0.6749999999999999,4.19375,95.13125000000002,4.161538461538462,9.061538461538463,86.77692307692307,20.05384615384615,24.775000000000002,29.846153846153847,407319.0
15,2019,AC,1200427,64,1.6666666666666667,,,,,,,,,0.0,4984251.36,0.0,7499800854.050006,2.65,3.1750000000000003,94.17500000000001,8.766666666666667,2.1333333333333337,89.10000000000002,16.97272727272727,17.349999999999998,19.0,18930.0
16,2019,AC,1200435,25,,,,,,,,,,0.0,5975891.06,0.0,431748910.13999987,8.518181818181821,4.872727272727272,86.60909090909091,16.46666666666667,5.033333333333333,78.5,11.833333333333332,18.37272727272727,15.833333333333334,6540.0
17,2019,AC,1200450,144,7.289256198347108,,,,,,,,,0.0,2747119.2600000002,0.0,217914741.93,2.0357142857142856,3.8071428571428574,94.15714285714286,10.066666666666666,18.700000000000003,71.23333333333332,16.918181818181818,19.550000000000004,25.233333333333334,23024.0
18,2019,AC,1200500,197,6.0,,,,,,,,,0.0,8257002.199999999,0.0,374800519.02000004,4.466666666666668,4.5583333333333345,90.97500000000001,6.9909090909090885,5.463636363636363,87.54545454545456,17.766666666666666,18.708333333333336,23.518181818181816,45848.0
19,2019,AC,1200609,204,3.423076923076923,,,,,,,,,0.0,14396737.840000002,0.0,826041859.5599997,5.3,8.658333333333331,86.04166666666667,6.199999999999999,6.554545454545454,87.24545454545454,15.590909090909092,22.299999999999997,24.254545454545454,42567.0
